D_Airport Rating,D_Airport On Time Rating,D_Airport Service Rating,A_Airport Rating,A_Airport On Time Rating,A_Airport Service Rating,D_Delay,Duration,A_Delay,C_Rating,C_Market Share,C_Load Factor,C_On Time Performance Rating,D_DewPointC,D_WindGustKmph,D_cloudcover,D_humidity,D_precipMM,D_pressure,D_tempC,D_visibility,D_winddirDegree,D_windspeedKmph,D_Time,A_DewPointC,A_WindGustKmph,A_cloudcover,A_humidity,A_precipMM,A_pressure,A_tempC,A_visibility,A_winddirDegree,A_windspeedKmph,A_Time,BLR-BOM,BLR-DEL,BOM-DEL,CCU-DEL,DEL-HYD,Air Asia,Air India,Go Air,Indigo,Spicejet,Vistara
7.50,8.60,9.20,7.29,6.20,9.00,8.00,79.00,-16.00,7.40,4.00,86.00,89.10,9.00,16.00,0.00,36.00,0.00,1011.00,26.00,10.00,176.00,12.00,5.00,22.00,4.00,34.00,62.00,0.00,1009.00,30.00,10.00,77.00,2.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,3.00,81.00,-20.00,7.40,4.00,86.00,89.10,17.00,14.00,5.00,60.00,0.00,1011.00,26.00,10.00,220.00,11.00,5.00,25.00,7.00,6.00,74.00,0.00,1009.00,30.00,10.00,197.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,2.00,90.00,-12.00,7.40,4.00,86.00,89.10,18.00,14.00,25.00,61.00,0.00,1012.00,26.00,10.00,202.00,11.00,5.00,21.00,18.00,5.00,64.00,0.00,1012.00,29.00,10.00,345.00,15.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,3.00,77.00,-23.00,7.40,4.00,86.00,89.10,19.00,8.00,69.00,62.00,0.00,1011.00,27.00,9.00,242.00,6.00,5.00,22.00,14.00,3.00,69.00,0.00,1012.00,28.00,10.00,240.00,12.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,15.00,78.00,-11.00,7.40,4.00,86.00,89.10,20.00,14.00,66.00,70.00,0.80,1010.00,26.00,8.00,235.00,10.00,5.00,24.00,11.00,0.00,66.00,0.00,1010.00,31.00,10.00,45.00,10.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,9.00,76.00,-19.00,7.40,4.00,86.00,89.10,19.00,14.00,14.00,61.00,0.00,1009.00,27.00,10.00,207.00,12.00,5.00,26.00,3.00,0.00,68.00,0.00,1008.00,33.00,10.00,59.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,1.00,83.00,-20.00,7.40,4.00,86.00,89.10,18.00,13.00,17.00,64.00,0.00,1009.00,26.00,10.00,226.00,11.00,5.00,26.00,3.00,0.00,71.00,0.00,1008.00,32.00,10.00,186.00,3.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-3.00,76.00,-31.00,7.40,4.00,86.00,89.10,18.00,10.00,67.00,60.00,0.00,1007.00,27.00,10.00,246.00,9.00,5.00,26.00,5.00,0.00,70.00,0.00,1008.00,32.00,10.00,222.00,4.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,11.00,79.00,-14.00,7.40,4.00,86.00,89.10,19.00,9.00,67.00,65.00,0.10,1010.00,26.00,9.00,185.00,8.00,5.00,24.00,9.00,0.00,64.00,0.00,1009.00,32.00,10.00,48.00,8.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-2.00,75.00,-31.00,7.40,4.00,86.00,89.10,18.00,9.00,16.00,63.00,0.00,1011.00,26.00,10.00,148.00,8.00,5.00,27.00,6.00,0.00,75.00,0.00,1011.00,32.00,10.00,325.00,5.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,22.00,73.00,-9.00,7.40,4.00,86.00,89.10,15.00,13.00,23.00,49.00,0.00,1010.00,26.00,10.00,142.00,9.00,5.00,24.00,12.00,2.00,70.00,0.00,1010.00,30.00,10.00,318.00,11.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,78.00,-21.00,7.40,4.00,86.00,89.10,15.00,13.00,5.00,48.00,0.00,1009.00,27.00,10.00,208.00,10.00,5.00,26.00,6.00,0.00,68.00,0.00,1008.00,33.00,10.00,341.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-2.00,74.00,-33.00,7.40,4.00,86.00,89.10,16.00,10.00,1.00,46.00,0.00,1009.00,29.00,10.00,217.00,8.00,5.00,26.00,8.00,0.00,66.00,0.00,1007.00,33.00,10.00,293.00,6.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,9.00,72.00,-23.00,7.40,4.00,86.00,89.10,17.00,10.00,17.00,52.00,0.00,1008.00,28.00,10.00,159.00,8.00,5.00,25.00,12.00,6.00,66.00,0.00,1007.00,32.00,10.00,187.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,79.00,-18.00,7.40,4.00,86.00,89.10,19.00,13.00,51.00,59.00,0.10,1009.00,28.00,10.00,217.00,11.00,5.00,25.00,24.00,4.00,80.00,0.00,1008.00,29.00,10.00,184.00,19.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,8.00,74.00,-22.00,7.40,4.00,86.00,89.10,18.00,16.00,64.00,62.00,0.00,1008.00,26.00,10.00,265.00,13.00,5.00,27.00,9.00,0.00,74.00,0.00,1007.00,32.00,10.00,185.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-1.00,76.00,-30.00,7.40,4.00,86.00,89.10,8.00,17.00,0.00,59.00,0.00,1018.00,16.00,10.00,89.00,11.00,5.00,13.00,9.00,2.00,42.00,0.00,1016.00,27.00,10.00,20.00,8.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,3.00,79.00,-21.00,7.40,4.00,86.00,89.10,15.00,18.00,5.00,78.00,0.00,1017.00,19.00,12.00,99.00,14.00,5.00,17.00,10.00,11.00,57.00,0.00,1016.00,26.00,13.00,22.00,7.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,7.00,74.00,-23.00,7.40,4.00,86.00,89.10,18.00,13.00,80.00,63.00,0.20,1010.00,25.00,9.00,228.00,10.00,5.00,19.00,5.00,54.00,73.00,0.00,1011.00,24.00,10.00,287.00,4.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-1.00,77.00,-29.00,7.40,4.00,86.00,89.10,13.00,14.00,2.00,49.00,0.00,1013.00,25.00,10.00,200.00,10.00,5.00,26.00,14.00,0.00,81.00,0.00,1012.00,29.00,10.00,169.00,12.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,-1.00,73.00,-32.00,7.40,4.00,86.00,89.10,18.00,19.00,66.00,61.00,0.40,1012.00,26.00,9.00,263.00,13.00,5.00,24.00,9.00,45.00,76.00,0.00,1013.00,28.00,10.00,217.00,7.00,6.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,15.00,77.00,-12.00,7.40,4.00,86.00,89.10,20.00,20.00,63.00,72.00,0.90,1007.00,26.00,8.00,268.00,13.00,5.00,26.00,12.00,60.00,79.00,0.00,1006.00,30.00,10.00,258.00,10.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,10.00,81.00,-13.00,7.40,4.00,86.00,89.10,18.00,33.00,66.00,76.00,0.00,1007.00,23.00,10.00,251.00,27.00,5.00,25.00,45.00,57.00,80.00,0.40,1002.00,28.00,8.00,243.00,29.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7.50,8.60,9.20,7.29,6.20,9.00,5.00,85.00,-14.00,7.40,4.00,86.00,89.10,18.00,36.00,94.00,80.00,0.00,1008.00,22.00,10.00,252.00,28.00,5.00,24.00,69.00,94.00,83.00,2.50,1003.00,28.00,5.00,266.00,36.00,7.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
